wikidata_id,item,name,description,type,category,subcategory,label,wikipedia_categories,instance_of,country,country_of_origin,English_description,num_properties,num_languages,wikipedia_title,average_daily_views,word_count_en
Q32786,http://www.wikidata.org/entity/Q32786,916,2012 film by M. Mohanan,entity,films,film,cultural exclusive,"2010s malayalam-language films, 2012 drama films, 2012 films, films scored by m. jayachandran, indian drama films",film,,India,2012 film by M. Mohanan,26.0,6.0,916 (film),72.0,507.0
Q371,http://www.wikidata.org/entity/Q371,!!!,American dance-punk band from California,entity,music,musical group,cultural representative,"!!!, 1996 establishments in california, american dance-punk musical groups, american post-punk revival music groups, indie rock musical groups from california, musical groups established in 1996, musical groups from sacramento, california, touch and go records artists, warp (record label) artists",musical group,,United States,American dance-punk band from California,59.0,30.0,!!!,162.0,1746.0
Q3729947,http://www.wikidata.org/entity/Q3729947,¡Soborno!,Mort & Phil comic,entity,comics and anime,comics,cultural representative,"1977 graphic novels, 1977 in comics, mort & phil comic books",comics,,Spain,Mort & Phil comic,11.0,4.0,¡Soborno!,6.0,726.0
Q158611,http://www.wikidata.org/entity/Q158611,+44,American band,entity,music,musical group,cultural representative,"Alternative rock groups from California, American rock music supergroups, Interscope Records artists, Musical groups established in 2005, Musical groups disestablished in 2009, Musical groups from Los Angeles, Musical quartets from California, Punk rock groups from California, Pop punk groups from California",musical group,,United States,American band,33.0,38.0,+44 (band),428.0,3327.0
Q280375,http://www.wikidata.org/entity/Q280375,1 Monk Street,"building in Monmouth, Wales",entity,architecture,building,cultural exclusive,"buildings and structures in monmouth, wales, grade ii listed buildings in monmouthshire, history of monmouthshire",building,United Kingdom,,"building in Monmouth, Wales",15.0,2.0,"1 Monk Street, Monmouth",9.0,930.0
Q104414508,http://www.wikidata.org/entity/Q104414508,100 percent corner,term for city center,concept,geography,city,cultural agnostic,"real estate terminology, urban studies and planning terminology",class,,,term for city center,3.0,1.0,100 percent corner,9.0,404.0
Q3008535,http://www.wikidata.org/entity/Q3008535,1889 Apia cyclone,Category 1 South Pacific cyclone in 1889,entity,history,historical event,cultural agnostic,"1889 in samoa, 1889 natural disasters, 19th century in apia, history of apia, tropical cyclones in samoa, unknown-strength tropical cyclones",cyclone,German Samoa,,Category 1 South Pacific cyclone in 1889,6.0,8.0,1889 Apia cyclone,26.0,1591.0
Q85720601,http://www.wikidata.org/entity/Q85720601,18th Abduction,novel by James patterson,entity,books,book,cultural agnostic,"2019 american novels, collaborative novels, little, brown and company books, novels set in san francisco, women's murder club (novel series)",book,,,novel by James patterson,7.0,1.0,18th Abduction,14.0,788.0
Q105570,http://www.wikidata.org/entity/Q105570,20 July plot,"attempt to assassinate Adolf Hitler, 1944",entity,history,historical event,cultural exclusive,"1940s coups d'état and coup attempts, 1944 in germany, 20 july plot, attacks on military installations in 1944, attempted coups in germany, building bombings in germany, catholic resistance to nazi germany, conflicts in 1944, conspiracies, failed assassination attempts in europe",historical event,Poland,,"attempt to assassinate Adolf Hitler, 1944",29.0,55.0,20 July plot,1681.0,12467.0
Q434841,http://www.wikidata.org/entity/Q434841,20th Century Studios,American film studio owned by The Walt Disney Company,entity,media,film studio,cultural representative,"1935 establishments in california, 20th century studios, american companies established in 1935, american film studios, century city, los angeles, cinema of southern california, companies based in los angeles, disney acquisitions, disney production studios, entertainment companies based in california",film studio,United States,,American film studio owned by The Walt Disney Company,79.0,86.0,20th Century Studios,2460.0,17005.0
Q4630640,http://www.wikidata.org/entity/Q4630640,20th-century French philosophy,philosophy-related events in France during the 20th century,entity,philosophy and religion,philosophical movement,cultural representative,"20th century in france, 20th century in philosophy, culture of france, french philosophy",philosophical movement,France,,philosophy-related events in France during the 20th century,5.0,3.0,20th-century French philosophy,45.0,2635.0
Q5476713,http://www.wikidata.org/entity/Q5476713,21st Century Fox,American multinational mass media corporation (2013–2019),entity,media,media company,cultural representative,"2013 establishments in new york city, 2019 mergers and acquisitions, american companies disestablished in 2019, american companies established in 2013, companies based in manhattan, companies formerly listed on the australian securities exchange, companies formerly listed on the nasdaq, conglomerate companies disestablished in 2019, conglomerate companies established in 2013, corporate spin-offs",media company,United States,,American multinational mass media corporation (2013–2019),58.0,45.0,21st Century Fox,810.0,8601.0
Q219293,http://www.wikidata.org/entity/Q219293,2600: The Hacker Quarterly,American technology publication,entity,media,magazine,cultural representative,"1984 establishments in new york (state), 2600: the hacker quarterly, computer magazines published in the united states, hacker magazines, magazines established in 1984, magazines published in new york (state), quarterly magazines published in the united states, works about computer hacking",magazine,United States,United States,American technology publication,32.0,14.0,2600: The Hacker Quarterly,178.0,1263.0
Q131401366,http://www.wikidata.org/entity/Q131401366,30th Critics' Choice Awards,30th Critics' Choice Awards for film and television,entity,media,television,cultural representative,"2024 film awards, 2024 television awards, 2025 awards in the united states, 2025 in los angeles, broadcast film critics association awards, february 2025 in the united states",award ceremony,United States,,30th Critics' Choice Awards for film and television,9.0,10.0,30th Critics' Choice Awards,340.0,3805.0
Q520959,http://www.wikidata.org/entity/Q520959,33 Whitecross Street,"listed building in Monmouth, Monmouthshire, Wales",entity,architecture,building,cultural exclusive,"archaeological sites in monmouthshire, cadw, grade ii listed buildings in monmouthshire, grade ii listed houses in wales, history of monmouth, wales, houses in monmouth, wales, prehistoric wales, stone age sites in wales",building,United Kingdom,,"listed building in Monmouth, Monmouthshire, Wales",15.0,3.0,"33 Whitecross Street, Monmouth",4.0,1167.0
Q4635677,http://www.wikidata.org/entity/Q4635677,365 Media Group,former sports media company,entity,media,media company,cultural agnostic,mass media companies of england,media company,,,former sports media company,3.0,1.0,365 Media Group,23.0,495.0
Q2850042,http://www.wikidata.org/entity/Q2850042,3D animation,animation technique,entity,comics and anime,animation technique,cultural agnostic,"Computer animation, Computer graphics, Animation techniques",animation technique,,,animation technique,10.0,5.0,3D animation,18.0,8286.0
